mapping_type,stage,node,8177_task,source_8175_task,inherited_sols,justification
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-50,8175-99,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-50,8175-100,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-50,8175-101,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-51,8175-98,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-51,8175-99,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-51,8175-100,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage3,Market economics,8177-51,8175-101,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage5,Rules / Legal / Ethics,8177-63,8175-51,"English: 10.RV, 10.RI, 11.DSR, 11.RV, 11.RI, 12.RV, 12.RI","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage5,Rules / Legal / Ethics,8177-63,8175-86,"English: 10.RV, 10.RI, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage5,Rules / Legal / Ethics,8177-64,8175-51,"English: 10.RV, 10.RI, 11.DSR, 11.RV, 11.RI, 12.RV, 12.RI","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage5,Rules / Legal / Ethics,8177-64,8175-86,"English: 10.RV, 10.RI, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage5,Rules / Legal / Ethics,8177-65,8175-51,"English: 10.RV, 10.RI, 11.DSR, 11.RV, 11.RI, 12.RV, 12.RI","Parallel unit — same concept, same lesson, both courses"
